make,model,highway08,city08,comb08,cylinders,drive,fule Type,year
Volkswagen,Tiguan 4motion,24,18,20,4,4-Wheel or All-Wheel Drive,Premium,2009
Volkswagen,Touareg,18,13,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Nissan,Titan 2WD,18,13,14,8,Rear-Wheel Drive,Gasoline or E85,2009
Nissan,Titan 4WD,17,12,14,8,4-Wheel or All-Wheel Drive,Gasoline or E85,2009
Nissan,Armada 2WD,18,12,14,8,Rear-Wheel Drive,Gasoline or E85,2009
Nissan,Armada 4WD,18,12,14,8,4-Wheel or All-Wheel Drive,Gasoline or E85,2009
Dodge,Journey  2WD,25,19,21,4,Front-Wheel Drive,Regular,2009
Dodge,Journey  4WD,22,15,17,6,4-Wheel or All-Wheel Drive,Regular,2009
Dodge,Journey  2WD,23,16,18,6,Front-Wheel Drive,Regular,2009
Aston Martin,V8 Vantage,19,13,15,8,Rear-Wheel Drive,Premium,2009
Aston Martin,V8 Vantage,19,12,14,8,Rear-Wheel Drive,Premium,2009
Audi,R8,19,12,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Audi,R8,18,13,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Audi,TT Roadster,30,22,25,4,Front-Wheel Drive,Premium,2009
Cadillac,XLR-V,23,14,17,8,Rear-Wheel Drive,Premium,2009
Cadillac,XLR,24,15,18,8,Rear-Wheel Drive,Premium,2009
Chevrolet,Corvette,24,15,18,8,Rear-Wheel Drive,Premium,2009
Chevrolet,Corvette,20,14,16,8,Rear-Wheel Drive,Premium,2009
Lamborghini,Murcielago,13,8,10,12,4-Wheel or All-Wheel Drive,Premium,2009
Lamborghini,Murcielago,14,9,11,12,4-Wheel or All-Wheel Drive,Premium,2009
Lamborghini,Murcielago Roadster,13,8,10,12,4-Wheel or All-Wheel Drive,Premium,2009
Lamborghini,Murcielago Roadster,14,9,11,12,4-Wheel or All-Wheel Drive,Premium,2009
Pontiac,Solstice,27,19,21,4,Rear-Wheel Drive,Regular,2009
Pontiac,Solstice,24,19,21,4,Rear-Wheel Drive,Regular,2009
Pontiac,Solstice,25,19,21,4,Rear-Wheel Drive,Regular,2009
Pontiac,Solstice,28,19,22,4,Rear-Wheel Drive,Premium,2009
Saturn,SKY,27,19,21,4,Rear-Wheel Drive,Regular,2009
Saturn,SKY,24,19,21,4,Rear-Wheel Drive,Regular,2009
Saturn,SKY,25,19,21,4,Rear-Wheel Drive,Regular,2009
Saturn,SKY,28,19,22,4,Rear-Wheel Drive,Premium,2009
MINI,John Cooper Works,34,26,29,4,Front-Wheel Drive,Premium,2009
MINI,John Cooper Works Convertible,34,26,29,4,Front-Wheel Drive,Premium,2009
Audi,A5 quattro,27,16,20,6,4-Wheel or All-Wheel Drive,Premium,2009
Audi,A5 quattro,26,17,20,6,4-Wheel or All-Wheel Drive,Premium,2009
